Ticker,Est EPS,Act EPS,Announcement Date
STI,1.049,1.05,20170721
STT,1.641,1.56,20170726
STX,1.336,0.39,20170725
STZ,1.936,2.0667,20170629
SWKS,1.904,1.34,20170720
SYF,0.746,0.62,20170721
SYK,1.922,1.04,20170727
SYMC,0.51,-0.22,20170802
T,0.678,0.63,20170725
TAP,1.096,1.5,20170802
TEL,1.154,1.23,20170726
TMK,1.201,1.2,20170726
TRIP,0.188,0.19,20170808
TROW,1.264,1.52,20170725
TRV,2.796,2.13,20170720
TSS,0.803,0.62,20170725
TWX,1.502,1.37,20170802
TXN,1.022,1.05,20170725
UAA,0.224,-0.0279,20170801
UAL,1.705,2.67,20170718
UDR,0.07,0.03,20170726
UHS,2.049,1.93,20170725
UNH,2.49,2.37,20170718
UNM,1.075,1.08,20170727
UNP,1.522,1.45,20170720
UPS,1.685,1.59,20170727
URI,2.783,1.67,20170719
USB,0.9,0.85,20170719
UTX,1.606,1.83,20170725
V,0.972,0.9809,20170720
VAR,0.983,0.99,20170726
VIAB,1.106,1.7,20170803
VLO,0.877,1.23,20170727
VMC,1.06,0.91,20170802
VNO,0.463,0.61,20170731
VRSK,0.846,0.73,20170801
VRSN,1.002,1.22,20170727
VRTX,0.504,0.07,20170726
VTR,0.893,0.43,20170728
VZ,0.882,1.07,20170727
WBA,1.26,1.08,20170629
WDC,3.519,0.96,20170727
WEC,0.67,0.63,20170726
WFC,1.064,1.08,20170714
WHR,4.871,2.55,20170726
WLTW,2.103,0.24,20170803
WM,0.822,0.82,20170726
WMB,0.161,0.1,20170802
WRK,0.617,1.3,20170803
WU,0.473,0.35,20170803
WY,0.224,0.03,20170728
WYN,1.41,0.75,20170802
WYNN,1.203,0.73,20170725
XEC,1.332,1.02,20170808
XEL,0.45,0.45,20170727
XL,1.062,1.16,20170726
XOM,1.006,0.78,20170728
XRAY,0.861,-4.58,20170809
XRX,1,0.64,20170801
XYL,0.738,0.55,20170801
YUM,0.856,0.59,20170803
ZBH,2.343,0.91,20170727
ZION,0.682,0.76,20170725
